,lat,lon,DXYP__
700,-82.0,130.0,8614268000.0
701,-82.0,132.5,8614268000.0
702,-82.0,135.0,8614268000.0
703,-82.0,137.5,8614268000.0
704,-82.0,140.0,8614268000.0
705,-82.0,142.5,8614268000.0
706,-82.0,145.0,8614268000.0
707,-82.0,147.5,8614268000.0
708,-82.0,150.0,8614268000.0
709,-82.0,152.5,8614268000.0
710,-82.0,155.0,8614268000.0
711,-82.0,157.5,8614268000.0
712,-82.0,160.0,8614268000.0
713,-82.0,162.5,8614268000.0
714,-82.0,165.0,8614268000.0
715,-82.0,167.5,8614268000.0
716,-82.0,170.0,8614268000.0
717,-82.0,172.5,8614268000.0
718,-82.0,175.0,8614268000.0
719,-82.0,177.5,8614268000.0
720,-80.0,-180.0,10748140000.0
721,-80.0,-177.5,10748140000.0
722,-80.0,-175.0,10748140000.0
723,-80.0,-172.5,10748140000.0
724,-80.0,-170.0,10748140000.0
725,-80.0,-167.5,10748140000.0
726,-80.0,-165.0,10748140000.0
727,-80.0,-162.5,10748140000.0
728,-80.0,-160.0,10748140000.0
729,-80.0,-157.5,10748140000.0
730,-80.0,-155.0,10748140000.0
731,-80.0,-152.5,10748140000.0
732,-80.0,-150.0,10748140000.0
733,-80.0,-147.5,10748140000.0
734,-80.0,-145.0,10748140000.0
735,-80.0,-142.5,10748140000.0
736,-80.0,-140.0,10748140000.0
737,-80.0,-137.5,10748140000.0
738,-80.0,-135.0,10748140000.0
739,-80.0,-132.5,10748140000.0
740,-80.0,-130.0,10748140000.0
741,-80.0,-127.5,10748140000.0
742,-80.0,-125.0,10748140000.0
743,-80.0,-122.5,10748140000.0
744,-80.0,-120.0,10748140000.0
745,-80.0,-117.5,10748140000.0
746,-80.0,-115.0,10748140000.0
747,-80.0,-112.5,10748140000.0
748,-80.0,-110.0,10748140000.0
749,-80.0,-107.5,10748140000.0
750,-80.0,-105.0,10748140000.0
751,-80.0,-102.5,10748140000.0
752,-80.0,-100.0,10748140000.0
753,-80.0,-97.5,10748140000.0
754,-80.0,-95.0,10748140000.0
755,-80.0,-92.5,10748140000.0
756,-80.0,-90.0,10748140000.0
